Date,Ret_m_Rf_dvdy
15/01/98,-0.007637528
16/01/98,0.011192416
20/01/98,0.017535508
21/01/98,-0.008074652
22/01/98,-0.008118318
23/01/98,-0.005757656
26/01/98,-0.000751054
27/01/98,0.012451646
28/01/98,0.00858965
29/01/98,0.008099106
30/01/98,-0.005383165
02/02/98,0.021103748
03/02/98,0.004630387
04/02/98,0.000811786
05/02/98,-0.003425071
06/02/98,0.008766837
09/02/98,-0.001782779
10/02/98,0.008066381
11/02/98,0.000898393
12/02/98,0.003958339
13/02/98,-0.004044836
17/02/98,0.00253151
18/02/98,0.008988805
19/02/98,-0.00377108
20/02/98,0.00566781
23/02/98,0.003710382
24/02/98,-0.007410734
25/02/98,0.011820446
26/02/98,0.005434949
27/02/98,0.000556156
02/03/98,-0.001634917
03/03/98,0.004044113
04/03/98,-0.004538911
05/03/98,-0.011865038
06/03/98,0.01967395
09/03/98,-0.003277515
10/03/98,0.011211729
11/03/98,0.003886572
12/03/98,0.001285436
13/03/98,-0.001295989
16/03/98,0.009855387
17/03/98,0.001021877
18/03/98,0.004610784
19/03/98,0.00380918
20/03/98,0.008536363
23/03/98,-0.003360511
24/03/98,0.009106061
25/03/98,-0.003440976
26/03/98,-0.001096797
27/03/98,-0.004951971
30/03/98,-0.001751864
31/03/98,0.007354047
01/04/98,0.005713573
02/04/98,0.010567061
03/04/98,0.00232025
06/04/98,-0.001254963
07/04/98,-0.010684084
08/04/98,-0.007224076
09/04/98,0.008075817
13/04/98,-0.000961414
14/04/98,0.005367599
15/04/98,0.003115903
16/04/98,-0.010089846
17/04/98,0.012965659
20/04/98,0.000749468
21/04/98,0.0026055
22/04/98,0.003350429
23/04/98,-0.009820435
24/04/98,-0.010565804
27/04/98,-0.019546564
28/04/98,-0.001395603
29/04/98,0.008647334
30/04/98,0.015449502
01/05/98,0.008207212
04/05/98,0.00087542
05/05/98,-0.005950993
06/05/98,-0.009608343
07/05/98,-0.008969333
08/05/98,0.011722143
11/05/98,-0.001433118
12/05/98,0.008155716
13/05/98,0.002669005
14/05/98,-0.001411173
15/05/98,-0.007841089
18/05/98,-0.002706688
19/05/98,0.003261833
20/05/98,0.008483011
21/05/98,-0.004036185
22/05/98,-0.003826755
